Wnorm,WLN,gamma,r,nmean,Ndim,xbound,xcount,ybound,ycount,time1,time2
0.9999877147958971,0.3674590184860642,0.5,0.05,1.0327221721160884,150,"[-10, 11]",200,"[-11, 16]",200,10.313467025756836,4.82966947555542
0.9999877147958971,0.3674590184860642,0.5,0.05,1.0327221721160884,150,"[-10, 11]",200,"[-11, 16]",200,10.40037751197815,4.842400550842285
0.9999888349370983,0.3881781581726471,0.5263157894736842,0.05,1.1437887987942772,150,"[-10, 11]",200,"[-11, 17]",200,11.551464319229126,4.921240568161011
0.9999830725504786,0.4072492878091739,0.5526315789473684,0.05,1.260415125285934,150,"[-10, 11]",200,"[-11, 17]",200,11.501384496688843,4.842592239379883
0.9999765910341463,0.4326837963482231,0.5789473684210527,0.05,1.3825593201235664,150,"[-10, 11]",200,"[-11, 18]",200,12.769389629364014,4.84164571762085
0.9999607280293992,0.45535528360842153,0.6052631578947368,0.05,1.5101237035842228,150,"[-10, 11]",200,"[-11, 18]",200,13.207738876342773,4.899186372756958
0.9999424528069708,0.47323305701401175,0.631578947368421,0.05,1.6429945040205047,150,"[-10, 11]",200,"[-11, 18]",200,12.847682476043701,4.884535789489746
0.9999307254985095,0.48752190135290857,0.6578947368421053,0.05,1.7811067009525903,150,"[-10, 11]",200,"[-12, 18]",200,12.751384019851685,4.836627721786499
0.9999079902103153,0.5128563774330932,0.6842105263157895,0.05,1.9243983341136413,150,"[-10, 11]",200,"[-11, 19]",200,14.10230016708374,4.961889028549194
0.9998699427687605,0.5392909175110945,0.7105263157894737,0.05,2.0727170576534943,150,"[-10, 11]",200,"[-11, 18]",200,13.232021808624268,4.88090443611145
0.9999819434690432,0.5614414578793071,0.7368421052631579,0.05,2.2258281836696256,150,"[-11, 12]",200,"[-17, 18]",200,12.724146366119385,4.916471242904663
0.999995359370483,0.5767283892728685,0.763157894736842,0.05,2.383544421279844,150,"[-10, 11]",200,"[-18, 18]",200,12.826723098754883,4.955432415008545
0.999998743770864,0.5850392691712698,0.7894736842105263,0.05,2.5457727390014275,150,"[-10, 11]",200,"[-18, 19]",200,13.950326442718506,4.948366165161133
0.9999941484865091,0.6022750882625938,0.8157894736842105,0.05,2.71245688088223,150,"[-10, 11]",200,"[-17, 19]",200,14.405935287475586,4.878216981887817
0.999991290763495,0.630218081153598,0.8421052631578947,0.05,2.883479418894483,150,"[-10, 11]",200,"[-17, 19]",200,13.956036806106567,4.862076759338379
0.9999736834661815,0.6582017862389424,0.868421052631579,0.05,3.058563368721019,150,"[-11, 12]",200,"[-17, 19]",200,13.867855787277222,4.991544723510742
0.9999786564587904,0.6818905988959137,0.8947368421052632,0.05,3.237313860862924,150,"[-11, 12]",200,"[-18, 19]",200,14.504640340805054,4.990370035171509
0.9999792680512465,0.6982838996341246,0.9210526315789473,0.05,3.419437710532485,150,"[-11, 12]",200,"[-18, 19]",200,14.479088544845581,5.072376251220703
0.9999876180031267,0.709160302735324,0.9473684210526315,0.05,3.6047962827262707,150,"[-11, 12]",200,"[-18, 18]",200,13.787761449813843,5.261029243469238
0.9999933969752463,0.7114911725940269,0.9736842105263157,0.05,3.7932806874608147,150,"[-10, 11]",200,"[-18, 19]",200,14.401837587356567,5.354098081588745
0.9999986679949601,0.7162556009355705,1.0,0.05,3.984843495359022,150,"[-10, 11]",200,"[-18, 19]",200,14.400206804275513,5.845470666885376
0.999989379230281,0.3971558488074821,0.5,0.0736842105263158,1.1378255845241536,150,"[-10, 11]",200,"[-11, 17]",200,12.288230657577515,5.050099849700928
0.999989379230281,0.3971558488074821,0.5,0.0736842105263158,1.1378255845241536,150,"[-10, 11]",200,"[-11, 17]",200,12.196050643920898,4.943588972091675
0.9999823374902725,0.41885305195209915,0.5263157894736842,0.0736842105263158,1.259790494963156,150,"[-10, 11]",200,"[-11, 17]",200,11.915803670883179,5.129991054534912
0.9999737123649353,0.4379260383287856,0.5526315789473684,0.0736842105263158,1.3878025305984412,150,"[-10, 11]",200,"[-11, 17]",200,13.300195217132568,7.002742528915405
0.9999644173403329,0.46522831438756707,0.5789473684210527,0.0736842105263158,1.5218053387820087,150,"[-10, 11]",200,"[-11, 18]",200,13.339718341827393,5.159112930297852
0.9999416561097171,0.48924371484628437,0.6052631578947368,0.0736842105263158,1.6616626930952805,150,"[-10, 11]",200,"[-11, 18]",200,12.88265609741211,4.877005100250244
0.9999153417704529,0.5075872885299224,0.631578947368421,0.0736842105263158,1.8072155250748831,150,"[-10, 11]",200,"[-11, 18]",200,12.976325750350952,5.037477731704712
0.9998993878510087,0.5213449553657478,0.6578947368421053,0.0736842105263158,1.9583778001573733,150,"[-10, 11]",200,"[-12, 18]",200,13.024316787719727,4.959473133087158
0.9998681273742609,0.5478867071978395,0.6842105263157895,0.0736842105263158,2.1150746088378805,150,"[-10, 11]",200,"[-11, 19]",200,13.947022914886475,4.852418899536133
0.9998254062920402,0.5757972935660773,0.7105263157894737,0.0736842105263158,2.2771104342235313,150,"[-11, 12]",200,"[-12, 19]",200,13.956745386123657,5.049785614013672
0.9999922554952192,0.5998947759632789,0.7368421052631579,0.0736842105263158,2.4441749789953304,150,"[-11, 12]",200,"[-18, 18]",200,12.883203744888306,4.954113245010376
0.9999946824204214,0.6150967609467943,0.763157894736842,0.0736842105263158,2.6160288147964956,150,"[-11, 12]",200,"[-18, 18]",200,12.94143295288086,5.1951904296875
0.9999981757851597,0.6227923524170709,0.7894736842105263,0.0736842105263158,2.7925587372732488,150,"[-10, 11]",200,"[-18, 19]",200,14.15883731842041,4.874075889587402
0.9999983802857676,0.6391101185793854,0.8157894736842105,0.0736842105263158,2.9737040696835613,150,"[-10, 11]",200,"[-18, 19]",200,13.897109746932983,5.1594483852386475
0.9999907986093624,0.6693487570772798,0.8421052631578947,0.0736842105263158,3.1593388119067667,150,"[-11, 12]",200,"[-17, 19]",200,13.868279695510864,4.965151786804199
0.9999673158300512,0.6990084096356035,0.868421052631579,0.0736842105263158,3.3491249033027684,150,"[-11, 12]",200,"[-17, 19]",200,14.065840482711792,5.262683629989624
0.9999728205686803,0.7235364890990621,0.8947368421052632,0.0736842105263158,3.542559466170217,150,"[-11, 12]",200,"[-18, 19]",200,14.262736558914185,4.872376203536987
0.9999734935278387,0.740580708099843,0.9210526315789473,0.0736842105263158,3.739294089855016,150,"[-11, 12]",200,"[-18, 19]",200,14.11977243423462,4.953163385391235
0.9999815720357353,0.7508015452307789,0.9473684210526315,0.0736842105263158,3.939187998394882,150,"[-11, 12]",200,"[-18, 19]",200,13.978253602981567,4.8603808879852295
0.9999926690205767,0.7528470338847577,0.9736842105263157,0.0736842105263158,4.142102442468808,150,"[-11, 12]",200,"[-18, 19]",200,13.90879225730896,5.095679044723511
0.9999983058820597,0.7559723768762903,1.0,0.0736842105263158,4.347983211371863,150,"[-10, 11]",200,"[-18, 19]",200,14.28612756729126,5.011007308959961
0.9999832187216946,0.4279948504057339,0.5,0.09736842105263158,1.2540901366080819,150,"[-10, 11]",200,"[-11, 17]",200,12.010456562042236,4.912595987319946
0.9999832187216946,0.4279948504057339,0.5,0.09736842105263158,1.2540901366080819,150,"[-10, 11]",200,"[-11, 17]",200,11.582268476486206,5.0138561725616455
0.9999726923545452,0.4505550377990723,0.5263157894736842,0.09736842105263158,1.3879651334526302,150,"[-10, 11]",200,"[-11, 18]",200,13.180490493774414,5.253736257553101
0.9999627173788295,0.46955118769625886,0.5526315789473684,0.09736842105263158,1.5283956114654238,150,"[-10, 11]",200,"[-11, 18]",200,12.947330713272095,5.32345986366272
0.9999468895510712,0.49886111186603643,0.5789473684210527,0.09736842105263158,1.675307557882704,150,"[-10, 11]",200,"[-11, 18]",200,12.821783542633057,5.698547601699829
0.9999148451814098,0.5243914302048456,0.6052631578947368,0.09736842105263158,1.8285145837662857,150,"[-10, 11]",200,"[-11, 18]",200,12.88395643234253,5.079512357711792
0.9998821723918694,0.543184547334795,0.631578947368421,0.09736842105263158,1.9877985496281345,150,"[-10, 11]",200,"[-12, 18]",200,12.926427602767944,5.091831684112549
0.9998669979100707,0.555973957125725,0.6578947368421053,0.09736842105263158,2.153047909436927,150,"[-10, 11]",200,"[-13, 19]",200,14.207433938980103,5.2528345584869385
0.9998140804093968,0.5840127502709578,0.6842105263157895,0.09736842105263158,2.3241749569890824,150,"[-10, 11]",200,"[-11, 19]",200,13.996107339859009,5.176916599273682
0.999984917001217,0.6139694974182379,0.7105263157894737,0.09736842105263158,2.500933547645289,150,"[-11, 12]",200,"[-17, 19]",200,14.283844947814941,5.544692277908325
0.9999896376282935,0.6392208569085359,0.7368421052631579,0.09736842105263158,2.682918662787976,150,"[-11, 12]",200,"[-18, 18]",200,13.171390295028687,5.438431739807129
0.9999927644205512,0.6546688745913137,0.763157894736842,0.09736842105263158,2.869830683888115,150,"[-11, 12]",200,"[-18, 18]",200,13.428864002227783,6.175133943557739
0.9999974148548099,0.6615295108330679,0.7894736842105263,0.09736842105263158,3.061534303649617,150,"[-10, 11]",200,"[-18, 19]",200,14.191681146621704,5.099017143249512
0.9999980873169405,0.6773872485513841,0.8157894736842105,0.09736842105263158,3.2579658154172657,150,"[-10, 11]",200,"[-18, 19]",200,14.573144912719727,6.30608606338501
0.9999887808899699,0.7090648986736081,0.8421052631578947,0.09736842105263158,3.458999124300513,150,"[-11, 12]",200,"[-17, 19]",200,15.096829414367676,5.56664252281189
0.9999598163391955,0.7406060657097162,0.868421052631579,0.09736842105263158,3.6642273708052775,150,"[-11, 12]",200,"[-17, 19]",200,14.317045450210571,5.248833656311035
0.9999658170786292,0.766052994083469,0.8947368421052632,0.09736842105263158,3.873013078248058,150,"[-11, 12]",200,"[-18, 19]",200,14.165565967559814,5.092030048370361
0.9999665798770306,0.7836336086632575,0.9210526315789473,0.09736842105263158,4.0849513075466195,150,"[-11, 12]",200,"[-18, 19]",200,14.146196126937866,5.0741801261901855
0.999976460032291,0.7936957077971477,0.9473684210526315,0.09736842105263158,4.2999142428587085,150,"[-11, 12]",200,"[-18, 19]",200,14.08017873764038,5.123986482620239
0.9999904379712299,0.7947244389139392,0.9736842105263157,0.09736842105263158,4.517720730164986,150,"[-11, 12]",200,"[-18, 19]",200,14.04815411567688,5.033112049102783
0.9999978577941592,0.7963401734326481,1.0,0.09736842105263158,4.738304285523342,150,"[-10, 11]",200,"[-18, 19]",200,14.291964769363403,5.1492650508880615
0.9999740172916368,0.4601221983015909,0.5,0.12105263157894737,1.3824561785679952,150,"[-10, 11]",200,"[-11, 17]",200,11.822060585021973,5.29903507232666
0.9999740172916368,0.4601221983015909,0.5,0.12105263157894737,1.3824561785679952,150,"[-10, 11]",200,"[-11, 17]",200,12.106528282165527,5.16201639175415
0.9999585019754513,0.4836044399545627,0.5263157894736842,0.12105263157894737,1.5293233871112941,150,"[-10, 11]",200,"[-11, 18]",200,12.979966878890991,5.162982225418091
0.999943984960424,0.5023708425070584,0.5526315789473684,0.12105263157894737,1.6832686028137365,150,"[-10, 11]",200,"[-11, 18]",200,12.921019315719604,5.062636852264404
0.9999221147039968,0.5335383473261278,0.5789473684210527,0.12105263157894737,1.8441971123010583,150,"[-10, 11]",200,"[-11, 18]",200,12.983698844909668,6.3915629386901855
0.9998782606331238,0.5608511825512973,0.6052631578947368,0.12105263157894737,2.0118584807808313,150,"[-11, 12]",200,"[-11, 18]",200,13.385932445526123,4.988982677459717
0.9998331454892512,0.5799800828758297,0.631578947368421,0.12105263157894737,2.1859590593481584,150,"[-10, 11]",200,"[-12, 18]",200,13.622281074523926,5.379580020904541
0.9998141768472478,0.592052129213384,0.6578947368421053,0.12105263157894737,2.3663570807687053,150,"[-10, 11]",200,"[-13, 19]",200,14.165016412734985,5.197903871536255
0.9999950086535565,0.6218995982333095,0.6842105263157895,0.12105263157894737,2.552953520646421,150,"[-10, 11]",200,"[-17, 19]",200,14.18607783317566,5.250487327575684
0.9999806975238784,0.6530754454052727,0.7105263157894737,0.12105263157894737,2.745444487806075,150,"[-11, 12]",200,"[-17, 19]",200,14.677330493927002,4.925891160964966
0.9999842327097807,0.6793102375506603,0.7368421052631579,0.12105263157894737,2.943307304224368,150,"[-11, 12]",200,"[-18, 19]",200,13.98084831237793,5.82740044593811
0.9999903268859541,0.6953121585075299,0.763157894736842,0.12105263157894737,3.146175357495604,150,"[-11, 12]",200,"[-18, 18]",200,13.364700078964233,5.863445997238159
0.9999964180934491,0.701167092930342,0.7894736842105263,0.12105263157894737,3.3538896392217428,150,"[-10, 11]",200,"[-18, 19]",200,14.96687626838684,4.929577827453613
0.9999977516482447,0.7163756243594659,0.8157894736842105,0.12105263157894737,3.5663845452235985,150,"[-10, 11]",200,"[-18, 19]",200,13.787964344024658,4.869572162628174
0.999986422173563,0.7495296650123155,0.8421052631578947,0.12105263157894737,3.783547774819108,150,"[-11, 12]",200,"[-17, 19]",200,14.259344100952148,5.3790178298950195
0.9999699849161552,0.7833122369027694,0.868421052631579,0.12105263157894737,4.004896333732996,150,"[-11, 12]",200,"[-18, 19]",200,14.116971969604492,5.193228483200073
0.9999575116681376,0.8093204303398933,0.8947368421052632,0.12105263157894737,4.229624487177879,150,"[-11, 12]",200,"[-18, 19]",200,14.093575954437256,5.074854135513306
0.9999584171959806,0.827337569656517,0.9210526315789473,0.12105263157894737,4.4572730655130846,150,"[-11, 12]",200,"[-18, 19]",200,14.006323099136353,5.208360195159912
0.9999703353910021,0.8372542976353724,0.9473684210526315,0.12105263157894737,4.687750682356897,150,"[-11, 12]",200,"[-18, 19]",200,14.13446569442749,5.516876220703125
0.9999877275575266,0.8372186901941382,0.9736842105263157,0.12105263157894737,4.92081504186679,150,"[-11, 12]",200,"[-18, 19]",200,14.235690116882324,5.1616926193237305
0.9999973144027902,0.8372329718494967,1.0,0.12105263157894737,5.156377835135036,150,"[-10, 11]",200,"[-18, 19]",200,14.090335130691528,5.245716094970703
0.9999627889927338,0.49368692335405345,0.5,0.14473684210526316,1.5239312381835914,150,"[-11, 12]",200,"[-11, 18]",200,13.001257181167603,5.223512649536133
0.9999627889927338,0.49368692335405345,0.5,0.14473684210526316,1.5239312381835914,150,"[-11, 12]",200,"[-11, 18]",200,13.076716184616089,5.336914777755737
0.999938152582317,0.5179207262424761,0.5263157894736842,0.14473684210526316,1.6849401599039913,150,"[-10, 11]",200,"[-11, 18]",200,12.895505428314209,5.074146509170532
0.9999203830368298,0.5363369985908446,0.5526315789473684,0.14473684210526316,1.8535545817439354,150,"[-10, 11]",200,"[-12, 18]",200,12.799435377120972,5.035301208496094
0.9998880185512026,0.569117003912462,0.5789473684210527,0.14473684210526316,2.029656537711445,150,"[-11, 12]",200,"[-11, 18]",200,13.020969867706299,5.006739139556885
0.9998281284599835,0.5982192376658766,0.6052631578947368,0.14473684210526316,2.2129152884847483,150,"[-11, 12]",200,"[-11, 18]",200,12.809595346450806,5.079236030578613
0.9999961963982605,0.6182498001448252,0.631578947368421,0.14473684210526316,2.4029425207620125,150,"[-11, 12]",200,"[-18, 18]",200,12.855291843414307,5.075061559677124
