Wnorm,WLN,gamma,r,nmean,Ndim,xbound,xcount,ybound,ycount
0.9999946206376606,-7.760800244226082e-06,0.0125,0.0725,0.005970222527829099,200,"[-4, 5]",200,"[-3, 4]",200
0.9999939649115656,-8.706818428931525e-06,0.0148989898989899,0.0725,0.006266693480240098,200,"[-4, 6]",200,"[-3, 5]",200
0.9999932691013135,-9.710666812863313e-06,0.0172979797979798,0.0725,0.006615081004962661,200,"[-4, 7]",200,"[-3, 6]",200
0.9999925333464347,-1.0772138608598497e-05,0.0196969696969697,0.0725,0.0070153851019967885,200,"[-4, 8]",200,"[-3, 7]",200
0.9999917577946499,-1.1890753003175816e-05,0.022095959595959596,0.0725,0.007467605771342526,200,"[-4, 9]",200,"[-3, 8]",200
0.9999909426433666,-1.3061796181939843e-05,0.024494949494949493,0.0725,0.00797174301299985,200,"[-4, 10]",200,"[-3, 9]",200
0.9999900881365065,-1.4250706382437028e-05,0.026893939393939394,0.0725,0.008527796826968852,200,"[-4, 11]",200,"[-3, 10]",200
0.9999891945617,-1.5301095562778558e-05,0.02929292929292929,0.0725,0.009135767213249381,200,"[-4, 12]",200,"[-3, 11]",200
0.9999882622476707,-1.575367910105273e-05,0.03169191919191919,0.0725,0.009795654171841396,200,"[-4, 13]",200,"[-3, 12]",200
0.9999872915618898,-1.4489661274562214e-05,0.03409090909090909,0.0725,0.010507457702745027,200,"[-4, 14]",200,"[-3, 13]",200
0.9999862829083892,-9.516117526823084e-06,0.03648989898989899,0.0725,0.011271177805960687,200,"[-4, 15]",200,"[-3, 14]",200
0.999985236725831,1.7295460431554347e-06,0.03888888888888889,0.0725,0.012086814481487223,200,"[-4, 16]",200,"[-3, 15]",200
0.9999841534856239,2.3749231485482952e-05,0.04128787878787879,0.0725,0.012954367729325936,200,"[-4, 17]",200,"[-3, 16]",200
0.9999830336903212,6.36059930294734e-05,0.04368686868686869,0.0725,0.01387383754947604,200,"[-4, 18]",200,"[-3, 17]",200
0.9999818778720422,0.00012447978491135026,0.04608585858585858,0.0725,0.014845223941937599,200,"[-4, 19]",200,"[-3, 18]",200
0.9999806865910579,0.00021013557562731913,0.04848484848484848,0.0725,0.015868526906711207,200,"[-4, 20]",200,"[-3, 19]",200
