Wnorm,WLN,gamma,r,nmean,Ndim,xbound,xcount,ybound,ycount
0.9999464748596489,9.356885276495534e-05,0.05,0.05,0.012807669799878185,200,"[-3, 4]",200,"[-3, 4]",200
0.9999725784809008,0.002100814590552415,0.0696969696969697,0.05,0.02252652800724258,200,"[-3, 5]",200,"[-4, 5]",200
0.9999723753578711,0.007840847996537602,0.08939393939393939,0.05,0.03544399777652349,200,"[-3, 6]",200,"[-4, 6]",200
0.9999720690315383,0.01758269769632285,0.10909090909090909,0.05,0.051560079107723165,200,"[-3, 7]",200,"[-4, 7]",200
0.9999716402269152,0.030575219430372138,0.12878787878787878,0.05,0.07087477200084129,200,"[-3, 8]",200,"[-4, 8]",200
0.9999710725666756,0.04596612060419464,0.1484848484848485,0.05,0.0933880764558691,200,"[-3, 9]",200,"[-4, 9]",200
0.9999703513998219,0.06291866933982856,0.16818181818181815,0.05,0.11909999247281287,200,"[-3, 10]",200,"[-4, 10]",200
0.9999694647835785,0.0808251645311177,0.18787878787878787,0.05,0.14801052005154228,200,"[-3, 11]",200,"[-4, 11]",200
0.9999684028919028,0.09946935835128097,0.20757575757575758,0.05,0.18011965918971748,200,"[-3, 12]",200,"[-4, 12]",200
0.9999671571782406,0.11833018729706102,0.22727272727272724,0.05,0.21542740986425046,200,"[-3, 13]",200,"[-4, 13]",200
0.9999657211947052,0.1371365109058338,0.24696969696969695,0.05,0.2539337719191785,200,"[-3, 14]",200,"[-4, 14]",200
0.9999640901589596,0.1561484527763749,0.26666666666666666,0.05,0.29563874454817424,200,"[-3, 15]",200,"[-4, 15]",200
0.9999622603240085,0.17500604905359132,0.2863636363636363,0.05,0.3405423245648064,200,"[-3, 16]",200,"[-4, 16]",200
0.9999602297149672,0.19341539496215698,0.30606060606060603,0.05,0.38864450238393033,200,"[-3, 17]",200,"[-4, 17]",200
0.9999579974688273,0.21194797002198854,0.32575757575757575,0.05,0.4399452484570103,200,"[-3, 18]",200,"[-4, 18]",200
0.9999555631736535,0.229620669469711,0.3454545454545454,0.05,0.49444450210719093,200,"[-3, 19]",200,"[-4, 19]",200
0.9999529277625814,0.24758416785996956,0.3651515151515151,0.05,0.5521421060875915,200,"[-3, 20]",200,"[-4, 20]",200
0.9999500923366195,0.26457946178216724,0.38484848484848483,0.05,0.6130378234928097,200,"[-3, 21]",200,"[-4, 21]",200
0.999972340659809,0.28141541305284307,0.4045454545454545,0.05,0.6771310636449235,200,"[-3, 22]",200,"[-5, 22]",200
0.9999722268689059,0.2980548602354642,0.4242424242424242,0.05,0.7444211300209553,200,"[-3, 23]",200,"[-5, 23]",200
0.9999720960284769,0.3143563698364933,0.4439393939393939,0.05,0.8149066239674502,200,"[-3, 24]",200,"[-5, 24]",200
0.9999719493714962,0.3300959816719743,0.46363636363636357,0.05,0.8885851714801623,200,"[-3, 25]",200,"[-5, 25]",200
0.9999717818879306,0.34563132867782737,0.4833333333333333,0.05,0.9654547532167777,200,"[-3, 26]",200,"[-5, 26]",200
0.9999716038018802,0.3616280609030033,0.503030303030303,0.05,1.045510891988747,200,"[-3, 27]",200,"[-5, 27]",200
0.9999713994373364,0.3761988285914841,0.5227272727272727,0.05,1.1287464898998085,200,"[-3, 28]",200,"[-5, 28]",200
0.9999711843965166,0.39074041686782307,0.5424242424242424,0.05,1.2151565572431084,200,"[-3, 29]",200,"[-5, 29]",200
0.9999709421151571,0.4049157722140369,0.5621212121212121,0.05,1.304734179563483,200,"[-3, 30]",200,"[-5, 30]",200
0.9999706802495129,0.41877343235998093,0.5818181818181818,0.05,1.397463679375359,200,"[-3, 31]",200,"[-5, 31]",200
0.9999704015020232,0.43312137736930495,0.6015151515151516,0.05,1.493327594505369,200,"[-3, 32]",200,"[-5, 32]",200
0.999970101741695,0.4460344188924256,0.6212121212121212,0.05,1.5923158953364012,200,"[-3, 33]",200,"[-5, 33]",200
0.9999697797984686,0.46013509462558666,0.6409090909090909,0.05,1.6944171956151737,200,"[-3, 34]",200,"[-5, 34]",200
0.9999694427891075,0.473355183985587,0.6606060606060606,0.05,1.7996037208659843,200,"[-3, 35]",200,"[-5, 35]",200
0.9999690767307854,0.4848164876436387,0.6803030303030303,0.05,1.9078349500062042,200,"[-3, 36]",200,"[-5, 36]",200
0.999968690853386,0.4981454382712661,0.7,0.05,2.0190783829828507,200,"[-3, 37]",200,"[-5, 37]",200
0.9999682866980305,0.510585714810198,0.7196969696969697,0.05,2.1333187467578156,200,"[-3, 38]",200,"[-5, 38]",200
0.9999678623184848,0.5218731334424727,0.7393939393939394,0.05,2.2505406194888193,200,"[-3, 39]",200,"[-5, 39]",200
0.9999674233375704,0.5341069038797346,0.759090909090909,0.05,2.370704998111614,200,"[-3, 40]",200,"[-5, 40]",200
0.9999669612598027,0.5456325712496684,0.7787878787878788,0.05,2.4937440982287256,200,"[-3, 41]",200,"[-5, 41]",200
0.9999664641323853,0.5576417946066341,0.7984848484848485,0.05,2.6195812099645193,200,"[-3, 42]",200,"[-5, 42]",200
0.9999659601755819,0.5677959750334041,0.8181818181818181,0.05,2.7481629765838544,200,"[-3, 43]",200,"[-5, 43]",200
0.9999654459941555,0.578581944307794,0.8378787878787879,0.05,2.8794679237295266,200,"[-3, 44]",200,"[-5, 44]",200
