Wnorm,WLN,gamma,r,nmean,Ndim,xbound,xcount,ybound,ycount
0.9999536088470511,0.248307080833145,0.3656565656565656,0.05,0.5536635860836705,200,"[-3, 29]",200,"[-4, 29]",200
0.9999518998419662,0.2588694994573838,0.3782828282828283,0.05,0.5923839327478282,200,"[-3, 30]",200,"[-4, 30]",200
0.9999501164533882,0.2698515523553632,0.3909090909090909,0.05,0.6324182911163179,200,"[-3, 31]",200,"[-4, 31]",200
0.9999732512644364,0.2809509437832527,0.4035353535353535,0.05,0.673766458693316,200,"[-3, 32]",200,"[-5, 32]",200
0.9999732752640911,0.29130404221109113,0.4161616161616161,0.05,0.7164282723303783,200,"[-3, 33]",200,"[-5, 33]",200
0.9999732999171884,0.3025995859175551,0.4287878787878788,0.05,0.7604034798580668,200,"[-3, 34]",200,"[-5, 34]",200
0.9999733253539776,0.3117867880499589,0.44141414141414137,0.05,0.8056915339407922,200,"[-3, 35]",200,"[-5, 35]",200
0.999973351741881,0.32251249411028554,0.454040404040404,0.05,0.852291750148108,200,"[-3, 36]",200,"[-5, 36]",200
0.9999733792653734,0.33302177589257825,0.4666666666666667,0.05,0.9002036218507186,200,"[-3, 37]",200,"[-5, 37]",200
0.9999734081252589,0.3423498210766986,0.47929292929292927,0.05,0.9494266351222511,200,"[-3, 38]",200,"[-5, 38]",200
0.9999734385507497,0.3520560677722183,0.4919191919191919,0.05,0.9999596646696998,200,"[-3, 39]",200,"[-5, 39]",200
0.9999734707953536,0.3627965247289077,0.5045454545454545,0.05,1.0518008333563216,200,"[-3, 40]",200,"[-5, 40]",200
0.9999735051308674,0.37306403679953853,0.5171717171717172,0.05,1.1049482030605626,200,"[-3, 41]",200,"[-5, 41]",200
0.9999735418603048,0.38097466786535644,0.5297979797979798,0.05,1.1594004599544647,200,"[-3, 42]",200,"[-5, 42]",200
0.9999735813085373,0.3910829635671048,0.5424242424242425,0.05,1.215156557243112,200,"[-3, 43]",200,"[-5, 43]",200
0.999973623816586,0.39879434376940304,0.5550505050505051,0.05,1.2722144736605823,200,"[-3, 44]",200,"[-5, 44]",200
0.9999736697506371,0.40970629100487166,0.5676767676767677,0.05,1.3305703728848755,200,"[-3, 45]",200,"[-5, 45]",200
0.9999737195199129,0.41725428967656386,0.5803030303030303,0.05,1.3902191770267842,200,"[-3, 46]",200,"[-5, 46]",200
0.9999737735403417,0.42656346141950996,0.592929292929293,0.05,1.4511562050453506,200,"[-3, 47]",200,"[-5, 47]",200
0.9999738322434837,0.43485339842187004,0.6055555555555556,0.05,1.5133784033566875,200,"[-3, 48]",200,"[-5, 48]",200
0.9999738961153766,0.4482765393487173,0.6181818181818182,0.05,1.576883880055036,200,"[-3, 49]",200,"[-5, 49]",200
0.999973965645157,0.4531998050649691,0.6308080808080808,0.05,1.6416699369225767,200,"[-3, 50]",200,"[-5, 50]",200
0.9999740413473694,0.4609100960069682,0.6434343434343435,0.05,1.7077310290819343,200,"[-3, 51]",200,"[-5, 51]",200
0.9999741237788169,0.46953398641647165,0.6560606060606061,0.05,1.7750581559671017,200,"[-3, 52]",200,"[-5, 52]",200
0.9999742134937231,0.47640233557880596,0.6686868686868688,0.05,1.8436402119701816,200,"[-3, 53]",200,"[-5, 53]",200
0.9999743111057481,0.4877966155174106,0.6813131313131313,0.05,1.9134666577284933,200,"[-3, 54]",200,"[-5, 54]",200
0.9999744172154867,0.4926702079603175,0.693939393939394,0.05,1.984529962646165,200,"[-3, 55]",200,"[-5, 55]",200
0.9999745324919281,0.5029273768277063,0.7065656565656566,0.05,2.056826010834395,200,"[-3, 56]",200,"[-5, 56]",200
0.999974657593616,0.50970242546336,0.7191919191919193,0.05,2.130352162248443,200,"[-3, 57]",200,"[-5, 57]",200
0.9999747932251464,0.5187315332060553,0.7318181818181818,0.05,2.2051042274940795,200,"[-3, 58]",200,"[-5, 58]",200
0.9999749401082423,0.5245180118567796,0.7444444444444445,0.05,2.281073760146872,200,"[-3, 59]",200,"[-5, 59]",200
0.9999750989953855,0.5303794534915818,0.7570707070707071,0.05,2.358246822198122,200,"[-3, 60]",200,"[-5, 60]",200
0.9999752706745033,0.5432314689409399,0.7696969696969698,0.05,2.436604678275628,200,"[-3, 61]",200,"[-5, 61]",200
0.9999754559439238,0.547431813276957,0.7823232323232323,0.05,2.5161262294015097,200,"[-3, 62]",200,"[-5, 62]",200
0.9999756556478427,0.558818260798212,0.794949494949495,0.05,2.596791901634587,200,"[-3, 63]",200,"[-5, 63]",200
