Wnorm,WLN,gamma,r,nmean,Ndim,xbound,xcount,ybound,ycount,time1,time2,nmeanbins
0.9999994766884334,0.01804114236810643,0.10126582278481013,0.07692307692307693,0.05300799280030217,150,"[-4, 5]",200,"[-4, 6]",200,2.391382932662964,4.929339647293091,"(-0.05, 0.0533]"
0.9999984735181129,0.09039795599210236,0.13728813559322034,0.17203389830508475,0.1564770013921319,150,"[-4, 5]",200,"[-4, 8]",200,1.1734468936920166,4.907113790512085,"(0.0533, 0.157]"
0.9999989909093084,0.15491956181852298,0.14745762711864407,0.2457627118644068,0.25775417245405624,150,"[-5, 6]",200,"[-4, 9]",200,1.193115472793579,5.002617359161377,"(0.157, 0.26]"
0.9999987715486364,0.21483012955410025,0.17721518987341772,0.2564102564102564,0.3628007292429079,150,"[-5, 6]",200,"[-4, 11]",200,2.319071054458618,4.898172616958618,"(0.26, 0.363]"
0.999997792245346,0.26473957786388397,0.16455696202531644,0.3333333333333333,0.46199699300253794,150,"[-5, 6]",200,"[-4, 11]",200,2.3218681812286377,4.937593698501587,"(0.363, 0.467]"
0.9999983659507216,0.3122463012412989,0.1576271186440678,0.3932203389830508,0.5669876931058271,150,"[-6, 7]",200,"[-4, 12]",200,2.3408758640289307,4.931819677352905,"(0.467, 0.57]"
0.9999962058605866,0.3547208227217323,0.15254237288135591,0.4423728813559322,0.6696186652589416,150,"[-7, 8]",200,"[-4, 12]",200,1.2285535335540771,4.9444663524627686,"(0.57, 0.673]"
0.9999957165076916,0.3935318894849333,0.16779661016949152,0.4423728813559322,0.7663847751359504,150,"[-9, 10]",200,"[-10, 13]",200,8.216222047805786,4.926559925079347,"(0.673, 0.777]"
0.9999962732689744,0.4320700284507011,0.13728813559322034,0.5406779661016949,0.8750295408826921,150,"[-10, 11]",200,"[-10, 13]",200,8.215611457824707,4.924803972244263,"(0.777, 0.88]"
0.9999963764540112,0.4686813772784144,0.17288135593220338,0.4915254237288135,0.9821425910481508,150,"[-10, 11]",200,"[-10, 15]",200,1.1766915321350098,4.938801050186157,"(0.88, 0.983]"
0.9999938398740216,0.5023707437279725,0.13924050632911392,0.5897435897435898,1.0822871647482482,150,"[-10, 11]",200,"[-10, 14]",200,2.296773195266724,4.885242938995361,"(0.983, 1.087]"
0.9999960982814344,0.5299557346583099,0.13728813559322034,0.6144067796610169,1.170178462185824,150,"[-10, 11]",200,"[-10, 15]",200,1.173266887664795,4.988064527511597,"(1.087, 1.19]"
0.9999963658085436,0.5650402891750383,0.13728813559322034,0.6389830508474575,1.2863738271163907,150,"[-11, 12]",200,"[-10, 16]",200,2.3676109313964844,4.965312004089356,"(1.19, 1.293]"
0.9999917450360041,0.5914249377680757,0.16779661016949152,0.5898305084745763,1.3954676162541022,150,"[-11, 12]",200,"[-10, 17]",200,2.359583616256714,4.920491933822632,"(1.293, 1.396]"
0.999986974246424,0.6198924946621369,0.16455696202531644,0.6153846153846154,1.4997417174151415,150,"[-11, 12]",200,"[-10, 16]",200,2.30754828453064,4.882491588592528,"(1.396, 1.5]"
0.9999941496279414,0.643733627737407,0.11186440677966103,0.7618644067796608,1.591034149118475,150,"[-11, 12]",200,"[-10, 16]",200,2.3491311073303223,5.009589672088623,"(1.5, 1.603]"
0.9999833478245562,0.6743775249963184,0.14745762711864407,0.688135593220339,1.7030587203725516,150,"[-11, 12]",200,"[-10, 17]",200,1.18894362449646,4.9608330726623535,"(1.603, 1.706]"
0.999975729888448,0.6955280686191463,0.1518987341772152,0.6923076923076923,1.8012996341561225,150,"[-11, 12]",200,"[-10, 17]",200,2.298443078994751,4.871338844299316,"(1.706, 1.81]"
0.99998516811033,0.7188829895983294,0.11186440677966103,0.8110169491525423,1.8971548276567092,150,"[-11, 12]",200,"[-10, 17]",200,2.35639762878418,4.959060192108153,"(1.81, 1.913]"
0.9999767790752924,0.7447805422155571,0.1139240506329114,0.8205128205128205,2.0038237692607312,150,"[-11, 12]",200,"[-10, 16]",200,1.1469573974609375,4.898198127746582,"(1.913, 2.016]"
0.999968970061254,0.7673142380316909,0.12203389830508475,0.8110169491525423,2.1018705212105124,150,"[-11, 12]",200,"[-10, 17]",200,1.233020544052124,5.039231777191162,"(2.016, 2.12]"
0.9999552389675641,0.7872133427881878,0.1271186440677966,0.8110169491525423,2.2105982068765315,150,"[-11, 12]",200,"[-10, 17]",200,1.1819982528686523,4.943381786346436,"(2.12, 2.223]"
0.9999423213051006,0.8094484365389949,0.13220338983050847,0.8110169491525423,2.323509700377166,150,"[-12, 13]",200,"[-10, 17]",200,2.3627405166625977,4.9472999572753915,"(2.223, 2.326]"
0.9999326894743512,0.8286749892448297,0.1271186440677966,0.8355932203389831,2.414753208969959,150,"[-12, 13]",200,"[-10, 17]",200,1.19153094291687,4.92500114440918,"(2.326, 2.43]"
0.9999291254540896,0.848273030193647,0.12203389830508475,0.8601694915254237,2.504928503256191,150,"[-12, 13]",200,"[-10, 17]",200,1.2410726547241209,4.952290296554565,"(2.43, 2.533]"
0.9999196169724672,0.8714888838554883,0.1139240506329114,0.8974358974358974,2.6274672698453525,150,"[-12, 13]",200,"[-10, 17]",200,1.1632990837097168,4.905353784561157,"(2.533, 2.636]"
